show_id,title,type,director,country,date_added,release_year,rating,duration,listed_in
s1,Stranger Things,TV Show,The Duffer Bros,United States,2022-07-15,2016,TV-14,3 Seasons,"Sci-Fi, Drama"
s2,The Irishman,Movie,Martin Scorsese,United States,2019-11-27,2019,R,209 min,"Crime, Drama"
s3,Lupin,TV Show,Louis Leterrier,France,2021-01-08,2021,TV-MA,2 Seasons,"Thriller, Mystery"
s4,Extraction,Movie,Sam Hargrave,India,2020-04-24,2020,R,117 min,"Action, Thriller"
s5,Enola Holmes,Movie,Harry Bradbeer,United Kingdom,2020-09-23,2020,PG-13,123 min,"Adventure, Mystery"
s6,Dark,TV Show,Baran bo Odar,Germany,2017-12-01,2017,TV-MA,3 Seasons,"Sci-Fi, Thriller"
s7,Money Heist,TV Show,Álex Pina,Spain,2017-05-02,2017,TV-MA,5 Seasons,"Crime, Drama"
s8,The Platform,Movie,Galder Gaztelu,Spain,2020-03-20,2019,TV-MA,94 min,"Horror, Sci-Fi"
s9,Bridgerton,TV Show,Chris Van Dusen,United States,2020-12-25,2020,TV-MA,2 Seasons,"Romance, Drama"
s10,Jamtara,TV Show,Soumendra Padhi,India,2020-01-10,2020,TV-MA,1 Season,"Crime, Thriller"
s11,Roma,Movie,Alfonso Cuarón,Mexico,2018-12-14,2018,R,135 min,Drama
s12,Emily in Paris,TV Show,Darren Star,United States,2020-10-02,2020,TV-MA,2 Seasons,"Comedy, Romance"
s13,Okja,Movie,Bong Joon-ho,South Korea,2017-06-28,2017,PG-13,121 min,"Action, Adventure"
s14,The Queen's Gambit,TV Show,Scott Frank,United States,2020-10-23,2020,TV-MA,1 Season,"Drama, Sport"
s15,Sacred Games,TV Show,Anurag Kashyap,India,2018-07-06,2018,TV-MA,2 Seasons,"Crime, Thriller"
s16,Klaus,Movie,Sergio Pablos,Spain,2019-11-15,2019,PG,96 min,"Animation, Family"
s17,Narcos,TV Show,José Padilha,United States,2015-08-28,2015,TV-MA,3 Seasons,"Crime, Drama"
s18,Dhamaka,Movie,Ram Madhvani,India,2021-11-19,2021,TV-MA,104 min,"Thriller, Action"
s19,Emily,Movie,Frances O'Connor,United Kingdom,2022-09-09,2022,R,130 min,"Biography, Drama"
s20,The Crown,TV Show,Peter Morgan,United Kingdom,2016-11-04,2016,TV-MA,6 Seasons,"Drama, History"
